,,,,,,
Country,,,,,,
Democratic Republic of the Congo,,,,,,
Iran,,,,,,
Democratic People's Republic of Korea,,,,,,
Libya,,,,,,
Somalia,,,,,,
South Sudan,,,,,,
Sudan,,,,,,
Yemen,,,,,,
